,start_value,bottom_value,difference,percent_diff
2314,215566.67,205766.67,-9800.0,-0.045461573442684804
2315,628533.33,568800.0,-59733.32999999996,-0.0950360579923422
2316,130900.0,117966.67,-12933.330000000002,-0.0988031321619557
2318,130233.33,111200.0,-19033.33,-0.1461479177411804
2319,425466.67,398800.0,-26666.669999999984,-0.06267628437263954
2320,259766.67,248400.0,-11366.670000000013,-0.043757230286703114
2321,491866.67,398733.33,-93133.33999999997,-0.18934671869512926
2322,250333.33,228800.0,-21533.329999999987,-0.08601862964072737
2323,92366.67,94266.67,1900.0,0.020570190524352563
2324,397866.67,348233.33,-49633.33999999997,-0.12474867522831196
2325,510600.0,370866.67,-139733.33000000002,-0.27366496278887587
2327,188733.33,179433.33,-9300.0,-0.049275875119672824
2328,958766.67,910500.0,-48266.67000000004,-0.05034245714861994
2329,269966.67,254100.0,-15866.669999999984,-0.05877269960769596
